primaryCategories; city;country;name;postalCode;province;reviews.rating
Accommodation & Food Services;Granby;US;Granby Motel;1033;MA;1.0
Accommodation & Food Services;Hadley;US;Comfort Inn;1035;MA;2.0
Accommodation & Food Services;West Springfield;US;Best Western Springfield West Inn;1089;MA;3.0
Accommodation & Food Services;Wilbraham;US;Wilbraham Inn;1095;MA;1.0
Accommodation & Food Services;Springfield;US;Hampton Inn & Suites Springfield/Downtown;1105;MA;4.0
Accommodation & Food Services;Springfield;US;Hampton Inn & Suites Springfield/Downtown;1105;MA;5.0
Accommodation & Food Services;Springfield;US;Hampton Inn & Suites Springfield/Downtown;1105;MA;5.0
Accommodation & Food Services;Gardner;US;The Colonial Hotel;1440;MA;4.0
Accommodation & Food Services;Littleton;US;Lyttleton Inn;1460;MA;5.0
Accommodation & Food Services;Woburn;US;Courtyard Boston Woburn/Boston North;1801;MA;5.0
Accommodation & Food Services;Woburn;US;Courtyard Boston Woburn/Boston North;1801;MA;4.0
Accommodation & Food Services;Woburn;US;Courtyard Boston Woburn/Boston North;1801;MA;5.0
Accommodation & Food Services;Woburn;US;Courtyard Boston Woburn/Boston North;1801;MA;5.0
Accommodation & Food Services;Andover;US;Courtyard Boston Andover;1810;MA;4.0
Accommodation & Food Services;Haverhill;US;Best Western Merrimack Valley;1832;MA;4.0
Accommodation & Food Services;Beverly;US;Beverly Garden Suites;1915;MA;5.0
Accommodation & Food Services;Gloucester;US;Atlantis Oceanfront Inn;1930;MA;5.0
Accommodation & Food Services;Boston;US;Harborside Inn;2109;MA;5.0
Accommodation & Food Services;Boston;US;Harborside Inn;2109;MA;5.0
Accommodation & Food Services;Boston;US;Harborside Inn;2109;MA;5.0
Accommodation & Food Services;Boston;US;Harborside Inn;2109;MA;4.0
Accommodation & Food Services;Boston;US;The Ritz-Carlton, Boston;2111;MA;5.0
Accommodation & Food Services;Cambridge;US;The Charles Hotel;2138;MA;2.0
Accommodation & Food Services;Cambridge;US;The Charles Hotel;2138;MA;5.0
Accommodation & Food Services;Brookline;US;Longwood Inn;2446;MA;5.0
Accommodation & Food Services;Waltham;US;Crescent Suites & Hotel;2453;MA;5.0
Accommodation & Food Services;Edgartown;US;Harborside Inn;2539;MA;4.0
Accommodation & Food Services;Falmouth;US;The Captain's Manor Inn;2540;MA;5.0
