Tanggal;Ref Id;Kode Produk;Nama Produk;Harga Modal;Harga Jual;Profit;Message;Status
30/09/2024 23:30;ab7u970934im4074;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26424;26818;394;TransaksiSukses;Sukses
30/09/2024 23:29;e51mg20w8fzb4074;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26424;26818;394;TransaksiSukses;Sukses
30/09/2024 23:21;ao7u8w09tw094074;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26424;26818;394;TransaksiSukses;Sukses
30/09/2024 23:21;of1mft0w7m9t4074;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26424;26818;394;TransaksiSukses;Sukses
30/09/2024 23:21;8t4f2009vdjq4074;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26424;26818;394;TransaksiSukses;Sukses
30/09/2024 23:20;pg4f1y09c63r70434;dana20;DANA 20.000;20095;20160;65;TransaksiSukses;Sukses
30/09/2024 23:19;597u8p098y1166850;tsel15;Telkomsel 15.000;14905;15056;151;TransaksiSukses;Sukses
30/09/2024 23:15;il4f1m09xxvl66838;tsel5;Telkomsel 5.000;5215;5291;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 23:09;zz1mfe0wn5tv66838;tsel5;Telkomsel 5.000;5225;5291;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 23:09;mi4f1h091eec66850;tsel15;Telkomsel 15.000;14905;15056;151;TransaksiSukses;Sukses
30/09/2024 23:08;aq7u8e09tv5g1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 22:56;d64f0l09trgi66836;tsel10;Telkomsel 10.000;10175;10251;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:56;zj4f0j095p7m66838;tsel5;Telkomsel 5.000;5221;5291;0;ProdukSedangGangguan;Gagal
30/09/2024 22:55;4o7u7i09gmws66850;tsel15;Telkomsel 15.000;14905;15056;151;TransaksiSukses;Sukses
30/09/2024 22:55;yh7u7g09j6xn65057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:51;d11me50wbt353032;jabo-tsel1500;Telkomsel Data 1.5 GB 3 Hari (Jabodetabek);7150;7891;741;TransaksiSukses;Sukses
30/09/2024 22:46;td4ezw094nuj65057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:43;uv4ezq09romh65057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:40;ti1mdf0wwuzo65057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:40;4g1mde0wnyn365057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:40;xa4ezc09jio065057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:39;884ez9091app65057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:38;xf4ez80920b265057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:38;z81mda0w5ypi65057;mlwdp;MOBILE LEGENDS Weekly Diamond Pass;26755;25563;0;HargasellerlebihbesardariketentuanhargaBuyer;Gagal
30/09/2024 22:38;q64ez709u6d265827;isat50;Indosat 50.000;49050;49145;95;TransaksiSukses;Sukses
30/09/2024 22:37;s94ez309fopy878;axis10;Axis 10.000;10810;10875;65;TransaksiSukses;Sukses
30/09/2024 22:36;po4ez209qzhs66838;tsel5;Telkomsel 5.000;5215;5291;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 22:32;pu7u5s09vtlv15038;cwj-isat-3;Indosat Data CWJ Freedom Internet Harian 3 GB 3 Hari;10055;10116;61;TransaksiSukses;Sukses
30/09/2024 22:32;5c4eyk09fmqm5353;tp-axis15;Axis Pulsa Transfer 15.000;15002;15532;530;TransaksiSukses;Sukses
30/09/2024 22:32;0i1mcm0wtxxx66838;tsel5;Telkomsel 5.000;5215;5291;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 22:30;nw4eyf09cful66838;tsel5;Telkomsel 5.000;5215;5291;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 22:30;071mci0w37st66836;tsel10;Telkomsel 10.000;10175;10251;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:29;5q4eya09x7ft66836;tsel10;Telkomsel 10.000;10175;10251;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:29;717u5e097sfi1689;drivermaxim10;Maxim Driver 10.000;11830;11890;60;TransaksiSukses;Sukses
30/09/2024 22:29;371mce0wdwzq3075;jaboz1-isat5h;Indosat Data Jabodetabek Zona 1 Freedom Internet Harian 5 GB 5 Hari;16945;17457;512;TransaksiSukses;Sukses
30/09/2024 22:28;t97u5a094tmi66838;tsel5;Telkomsel 5.000;5215;5291;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 22:28;a37u5809ss8e65213;tp-xl20;Xl Pulsa Transfer 20.000;19645;19763;118;TransaksiSukses;Sukses
30/09/2024 22:27;sh7u5609vmfv70524;dana100;DANA 100.000;100090;100161;71;TransaksiSukses;Sukses
30/09/2024 22:27;r27u5209wmos66838;tsel5;Telkomsel 5.000;5215;5291;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 22:25;4k1mc00wgaza1486;dana95;DANA 95.000;95090;95161;71;TransaksiSukses;Sukses
30/09/2024 22:24;n17u4s09vrux1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 22:24;np4exn09mt1y3386;linkaja50;LinkAja Rp 50.000;50175;50311;136;TransaksiSukses;Sukses
