publishedAt;authorDisplayName;textDisplay;likeCount
2024-07-11T04:43:15Z;@PelurKelor;plagiat black clover lol;0
2024-07-11T04:36:40Z;@xiaoxi9561;Mengingatkan ku pada asta😅;0
2024-07-11T04:02:53Z;@kemedjuara9773;Motifasinya cuma betina 😂;0
2024-07-11T03:57:59Z;@herowahyudi6408;Judul anime;0
2024-07-11T03:57:57Z;@Ryxz.xx1;seru banget gilakkkk;0
2024-07-11T03:24:56Z;@donnypradana1229;Kacaaaauuuuu bangeet🔥;0
2024-07-11T03:14:58Z;@lofihiphopmix6956;danmachi versi animasi keren +++;0
2024-07-11T02:36:19Z;@Iori-wi1pn;menyalaaaaaaaa [emoji api];1
2024-07-11T02:22:08Z;@ardanakbar1270;Terbaaaiiik joooooon...;0
2024-07-11T01:47:16Z;@rahmatkayakkemarintapiagak4557;Anime macam apa ini😱;0
2024-07-11T01:44:31Z;@riskombawooo5726;Gile🔥❤️;0
2024-07-11T01:12:29Z;@endryoktori6428;Kalo dari manga ny di chapter 33, bagus ini ceritanya. Mayan buat hari jg;0
2024-07-11T00:58:14Z;@zuranon9464;Mewah visualnya gelo;0
2024-07-11T00:26:49Z;@faizkhailasitumeangchan6367;sinematografinya cakep;0
2024-07-11T00:00:18Z;@Jhoentak15;Edward sensei = Snape kw 😅;0
2024-07-10T23:09:55Z;@rvannord;Bagus;0
2024-07-10T22:49:55Z;@Apa_yang_anda_pikirkan;Anime ini keren.;0
2024-07-10T22:43:00Z;@fatirrasyidin2955;Anime keren/10;0
2024-07-10T21:50:34Z;@RevisiTerakhir;Visual, Animasinya, Sinematografi bener2 sempurna abis. Cerita juga fresh nih, satu satunya pendekar di dunia penyihir. Gak nyangka konsepnya sebagus ini 🎉;0
2024-07-10T18:49:26Z;@andififian;Bole juga artstylenya. Semoga ga berakhir kayak ninja kamui.;0
2024-07-10T18:36:34Z;@muntazrofi1490;Ini teralu kerennnnn;0
2024-07-10T18:35:57Z;@muntazrofi1490;GG bangetttttt;0
2024-07-10T18:03:07Z;@A_budz;Pengganti black clover iyeu mah euy mantap min lah gassz terus;0
2024-07-10T17:34:00Z;@adams829;anime tier S;0
2024-07-10T16:33:35Z;@elalunedffoo21;Nah gini dong muse, anime jgn isekai semua 😂, skali2 pure fantasy;0
2024-07-10T16:31:43Z;@dwipurwo8775;Vibesnya kayak frieren tapi grifiknya GG parah🎉;0
2024-07-10T15:54:48Z;@user-hw3fv7xt1k;gila nih anime keren banget alurnya, antara pedang dan sihir yang bersatu;0
2024-07-10T15:43:25Z;@vickyfrenov054;WOYY SUMPAH BAGUZ BANGET CINEMANYAAA!!!!❤;0
2024-07-10T15:42:17Z;@ah_ah22;mada mada;0
2024-07-10T15:39:41Z;@RAIDSUN_;fix,calon anime utama season ini cuy;0
2024-07-10T15:18:30Z;@jurgambach3515;workner = gilgamesh;0
2024-07-10T14:53:14Z;@d.saallcy;terbaik;0
2024-07-10T14:51:24Z;@user-wb2cs2ww5o;GRAFIK NYA kayak anime movie;0
2024-07-10T14:47:21Z;@rifky4you.;Awal ragu karena sinopsisnya sangat umum sekali tapi begitu lihat behhh bagus bat animasinya;0
2024-07-10T14:45:51Z;@Julius8999;Keren sih mirip black clover inj;0
2024-07-10T14:26:54Z;@edywidar3;pengganti kaiju 8 di musim ini;0
2024-07-10T14:26:32Z;@ayussucen709;Mc kek si Asta, trus mencapai temen kecil nya di atas kek Kaijuu no-8 🗿;0
2024-07-10T14:25:49Z;@a-chan7057;Oh ini yg katanya mirip black clover;0
2024-07-10T14:08:42Z;@ezafahreza111;Noooo Colette berharap MC run colette;0
2024-07-10T14:00:41Z;@HergiyanRandy;Mntep sie ini;0
2024-07-10T13:58:44Z;@Ok-nk1lg;GG sih tapi hair style aneh 😂;0
2024-07-10T13:58:37Z;@jjcasie;Ceritanya mirip si asta black clover;0
2024-07-10T13:41:54Z;@Nagisa1000;Naip;0
2024-07-10T13:37:50Z;@SRR_Salwa;100/11;0
