created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 27 18:24:07 +0000 2023;1740076107771322696;"@akrmidori dari tadi sebenernya mau metion lu, tp lu tuh lg badmood kan krn higuruma mati  nah, iya, gw inget banget lu bilang " gw takut nanti Gojo di rusak karakternya (entah sama GEGE or fans)"  bener aja, chapter ini kejadian AAAAAAAAAAAAAAAAAAAA itu aja si";0;0;0;0;in;1128725266606346241;1740076107771322696;SatoruGojoFans;https://twitter.com/SatoruGojoFans/status/1740076107771322696
Wed Dec 27 18:06:23 +0000 2023;1740071643287105853;"@_lesssugar Marah marah mulu, gojo noh mati :”";0;1;0;0;in;472655116;1740048267793387756;errorfeelin;https://twitter.com/errorfeelin/status/1740071643287105853
Wed Dec 27 17:39:58 +0000 2023;1740064997286535446;"@vivalaviraille @shimetsu_kaiyuu halah lu kritik kashimo mati lebih cepat dari apa yang dibanggakan fans.. bukan soal masalah disamakan oleh Gojo gue tahu kritik itu dan basi bgt wkwkkw";0;1;0;0;in;1333607113550045184;1739867817217020146;Yuujii74211395;https://twitter.com/Yuujii74211395/status/1740064997286535446
Wed Dec 27 16:53:29 +0000 2023;1740053298735132688;"gojo mati, kashimo mati, skrg higuruma mati...";0;1;0;0;in;1148931287945580544;1740053298735132688;icyalll;https://twitter.com/icyalll/status/1740053298735132688
Wed Dec 27 16:32:44 +0000 2023;1740048074243023185;"Kayaknya bener deh kata orang, Gojo sengaja dibikin mati karena di reallife mau nyapres 😭😭😭";0;0;0;0;in;1176712232123547648;1740048074243023185;geeyouluv;https://twitter.com/geeyouluv/status/1740048074243023185
Wed Dec 27 16:16:55 +0000 2023;1740044096662897007;"tp lu prnah kepikiran gaksih si gojo aja mati trus higuruma trus skrg sisa bawahan bawahannya gt trus ntar si sukuna matinya ama siapa ajg apa matinya krn kena serangan jantung gt";0;1;0;0;in;1226116995042594816;1740044096662897007;suguruhamil;https://twitter.com/suguruhamil/status/1740044096662897007
Wed Dec 27 16:15:21 +0000 2023;1740043700984795635;"hmz nyantol aot, eren mati nyantol orv, dokja mati nyantol demonslayer, muichiro mati nyantol jjk, gojo jdi kiko dulu bgt nyantol exo, luhan out nyantol nct, lucas out ah bajingan sekali bukan?";0;0;0;0;in;1217612626605117440;1740043700984795635;opheliasyh;https://twitter.com/opheliasyh/status/1740043700984795635
Wed Dec 27 14:41:51 +0000 2023;1740020171832807430;"Buat apa repot repot segel gojo dari awal tai. ga perlu nunggu 3 tahun buat dia keluar, ga pelu juga itu narasi "are you gojo satoru because you're the strongest bla bla", "what is gojo satoru to you", ga perlu juga dibuat mati anjggg";0;0;0;0;in;2270104056;1740020171832807430;nyeongtoru;https://twitter.com/nyeongtoru/status/1740020171832807430
Wed Dec 27 14:36:45 +0000 2023;1740018888296022079;"@gicves gatau, belum nonton lagi abis gojo mati, hati mungilku belum pulih, masi 💔💔💔";0;1;0;0;in;761915020380733441;1740017959794516010;aprdhyte;https://twitter.com/aprdhyte/status/1740018888296022079
Wed Dec 27 14:35:41 +0000 2023;1740018620951085512;"@renaarc_ @dokjea Gpp mati semua, yg penting Gojo ga makan di kfc lagi";0;0;0;0;in;1214803460240969729;1739882668123476042;rrrukmii;https://twitter.com/rrrukmii/status/1740018620951085512
