conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1817527993184735237,Sun Jul 28 11:50:16 +0000 2024,273, Orang Islam sejati adalah yang tetap berdiri pada tempat yang benar meskipun dalam keadaan kacau - KH Ahmad Dahlan Pendiri Persyarikatan Muhammadiyah https://t.co/PHVmcu5KNa,1817527993184735237,https://pbs.twimg.com/media/GTkm8YsaIAAVXOV.jpg,,in,Kota Yogyakarta,2,14,75,https://x.com/bukupembaharu/status/1817527993184735237,1304372603595837440,bukupembaharu
1817080319302074528,Sat Jul 27 06:11:22 +0000 2024,9215,PBNU &amp; PP Muhammadiyah: Dipisahkan Qunut Disatukan Tambang! https://t.co/gdWQ6oN8JX,1817080319302074528,https://pbs.twimg.com/media/GTeQ6NDbIAALHaO.jpg,,in,,151,130,3240,https://x.com/MurtadhoRoy/status/1817080319302074528,1317479638487068674,MurtadhoRoy
1816577300919660591,Thu Jul 25 20:52:33 +0000 2024,591,Petugas pertahanan sipil menangis setelah menarik seorang anak perempuan kecil tak bernyawa yang tertimpa reruntuhan beton 🇵🇸 #FreePalestine #GazaGenocide‌ Inisial T Muhammadiyah JANGAN YA DEK YA Indah G TOMORO COFFEE Malam Jumat. https://t.co/7AIkgWLBL1,1816577300919660591,https://pbs.twimg.com/ext_tw_video_thumb/1816577274847846400/pu/img/intY5OiOVN5Ef3z2.jpg,,in,"DKI Jakarta, Indonesia",2,15,174,https://x.com/Bayi_Nepotisme/status/1816577300919660591,1787788662295683072,Bayi_Nepotisme
1817573512368017646,Sun Jul 28 14:51:08 +0000 2024,33,Ahirnya Muhammadiyah tertunduk dan bersimpuh di hadapan Presiden Jokowi dan Bahlil. https://t.co/maBWZfgv9D,1817573512368017646,https://pbs.twimg.com/ext_tw_video_thumb/1817573251675213824/pu/img/4hDOuw-ZdOmTkSnU.jpg,,in,"Cengkareng, Indonesia",0,3,16,https://x.com/NenkMonica/status/1817573512368017646,1040306964100669440,NenkMonica
1817052980526612762,Sat Jul 27 04:22:44 +0000 2024,836,Amien Rais: MUHAMMADIYAH BERISTIGHFARLAH selengkapnya: https://t.co/6Rk4f7ZZrN https://t.co/86MXB4Cwik,1817052980526612762,https://pbs.twimg.com/ext_tw_video_thumb/1817052925472202752/pu/img/E90s8xnjZ8NCqnzg.jpg,,in,,10,39,324,https://x.com/Piyusaja2/status/1817052980526612762,1610273431454625792,Piyusaja2
1817529710710288425,Sun Jul 28 11:57:05 +0000 2024,100,Bagi yang menerima mari pahami bahwa ada tanggungjawab besar menjaga komitmen lingkungan pengelolaan &amp; kemasyarakatan Bagi yang menolak wajar kecewa. Setidaknya jalan tengah dan berbagai pertimbangan telah diupayakan dalam prosesnya Sekarang saatnya kita kawal bersama https://t.co/Lg8Z307LeY,1817529710710288425,https://pbs.twimg.com/media/GTkpouuaIAAlWgL.jpg,,in,"Yogyakarta, Indonesia",17,42,22,https://x.com/KabarMuh_ID/status/1817529710710288425,1481296968731459592,KabarMuh_ID
1816467313102917847,Thu Jul 25 13:35:30 +0000 2024,642,Tidak perlu menunggu menjadi muslim untuk membela hak-hak warga palestina anda cukup menjadi seorang manusia. #FreePalestine #GazaGenocide Hotel Inisial T Pandji Muhammadiyah JANGAN YA DEK YA Netanyahu Berani. https://t.co/G6taKF0lJN,1816467313102917847,https://pbs.twimg.com/ext_tw_video_thumb/1816467261525565440/pu/img/kSJV6q97t0LjnXIt.jpg,,in,"DKI Jakarta, Indonesia",3,33,191,https://x.com/Bayi_Nepotisme/status/1816467313102917847,1787788662295683072,Bayi_Nepotisme
1816754779160498309,Fri Jul 26 08:37:47 +0000 2024,53,Saya yakin sumberdaya insani kader kader Muhammadiyah sanggup mengelola tambang bisa memberi contoh mengelola tambang yang baik tambang yang tetap memperhatikan lingkungan. Saya percaya kader Muhammadiyah mampu! Saatnya memberi contoh! https://t.co/i2kDlXyHWc,1816754779160498309,https://pbs.twimg.com/media/GTZo1tsa4AAMIr1.jpg,,in,"Yogyakarta, Indonesia",10,41,17,https://x.com/Gus_Bach/status/1816754779160498309,210091931,Gus_Bach
1816848288382939518,Fri Jul 26 14:49:22 +0000 2024,944,Kalian semua diundang! Aksi Diam Duka untuk Ormas Berketambangan Dua bulan terakhir semua ummat beragama dikagetkan dengan riswah politik dari pemerintah dalam bentuk pemberian konsesi tambang pada ormas. #saveormas #muhammadiyah #alleyesonmuhammadiyah https://t.co/9xYBtUfh8H,1816848288382939518,https://pbs.twimg.com/media/GTa946UXkAAV2h3.jpg,,in,,25,55,382,https://x.com/kaderhijaumu/status/1816848288382939518,1214919012255035392,kaderhijaumu
1817103571462066187,Sat Jul 27 07:43:46 +0000 2024,514,Selain cinta apakah yang menyatukan NU dengan Muhammadiyah ? Cluenya : Inisial T Sumber Foto @CNNIndonesia https://t.co/HzcNiQQSVw,1817103571462066187,https://pbs.twimg.com/media/GTele3lagAMYu8B.jpg,,in,Kota Yogyakarta,12,46,181,https://x.com/bukupembaharu/status/1817103571462066187,1304372603595837440,bukupembaharu
1816326137494315336,Thu Jul 25 04:14:31 +0000 2024,104,Roasting clan sebelah malah Muhammadiyah ikutan nimbrung. https://t.co/nchbv7CLZG,1816326137494315336,https://pbs.twimg.com/media/GTTi_rDbMAAcKir.jpg,,in,"Malang, Jawa Timur",3,11,24,https://x.com/dmnscx/status/1816326137494315336,2182402190,dmnscx
1816544797462782170,Thu Jul 25 18:43:24 +0000 2024,10,omongan panjenengan suka bener bang sebelum nya banyak yg bilang Muhammadiyah gak latah tapi kenyataan nya sekarang ? ketularan latah bahkan sebelum nya ada petisi tolak tambang pada kemana haters NU yg kemarin ngolok sampe ada yg usil ngedid ubah logo NU ? asli membagongkan https://t.co/qWcnxisAEh,1816544797462782170,https://pbs.twimg.com/ext_tw_video_thumb/1816544624783360000/pu/img/rWAGVtF5zsg0_kUV.jpg,,in,,0,4,3,https://x.com/mamagemoybiasa/status/1816544797462782170,1370343082495942660,mamagemoybiasa
1814888224764141973,Sun Jul 21 05:00:46 +0000 2024,6048,Alhamdulillaah lagi2 ormas Muhammadiyah membuktikan peran pejuang sbg penegak amar ma'ruf nahi munkar. Muhammadiyah MENCERAHKAN SEMESTA ️ https://t.co/brHXZ1NFtK,1814888224764141973,https://pbs.twimg.com/ext_tw_video_thumb/1814888010259046401/pu/img/kHlTjF5bcqMX9PJx.jpg,,in,,53,161,1727,https://x.com/Boediantar4/status/1814888224764141973,1383750727575605257,Boediantar4
