publishedAt;authorDisplayName;textDisplay;likeCount
2024-10-03T03:21:53Z;@audiraafian;Bisa bisanya tayang di muse padahal dia juga sama netflix.Terimakasih muse akan saya tonton semua iklan nya;1498
2024-10-03T03:31:40Z;@SahabatFrieren;Beda di style translate-nya.;93
2024-10-03T07:32:41Z;@NovanHeavenxz;Di Netflix bukan hasil terjemahan Muse;83
2024-10-03T16:52:06Z;@karsaseptiansyah7223;@@ikyarios nah ini pemikirannya salahSemua OTT bisa kok beli lisensi penayangannya tergantung OTTnya mau ambil atau enggak;61
2024-10-03T17:03:28Z;@Alakada;Muse Asia juga kebagian lisensinya kok, ga cuman netflix. Kan banyak juga anime yg rilis dsini berbarengan sama netflix;25
2024-10-03T17:04:46Z;@dandante88;​@@karsaseptiansyah7223 bener. siapa aja bisa beli/sewa lisensinya;0
2024-10-05T11:29:11Z;@Kira-tx3zz;nooooooo why 720 p;0
2024-10-05T11:26:29Z;@TheGaid06;domain expension;0
2024-10-05T11:26:19Z;@ralphiadamsubekti882;oke gas oke gas;0
2024-10-05T11:25:13Z;@IbnuHanief;Opening = MashleIsinya = Mob;0
2024-10-05T11:23:21Z;@ywmaestro;zutomayo 🤗🤗🤗🤗;0
2024-10-05T11:23:08Z;@firmangobike1985;Wah si Tanjiro rupanya;0
2024-10-05T11:18:54Z;@zidanutama3295;Wah ada instrumen jawanya;0
2024-10-05T11:13:30Z;@farhanbaiq4558;Entah kenapa langsung inget mob psycho😂;0
2024-10-05T11:00:36Z;@Albert48906;Ini baru anime berkelas;0
2024-10-05T11:00:29Z;@vtuberclips7970;Absolute sinema 🖐😶🖐;0
2024-10-05T10:59:54Z;@sabrinaaulia222;Anjir kocak + seru ini anime;0
2024-10-05T10:54:39Z;@dadan_wardhana;aku dong 🤣🤣;0
2024-10-05T10:53:40Z;@ryanleonardo1413;jatuh cinta sama openningnya 🥶🥶;0
2024-10-05T10:52:13Z;@turtuul3919;Yang pilih op nya di nyanyiin sama creepy nuts gaji nya perlu di tambah;0
2024-10-05T10:50:06Z;@AmirMoci;9,5/10 bagussss animasinya, ceritanya unik. sukaaa;0
2024-10-05T10:49:10Z;@sorarukokonose510;kok nostalgia yaa sama gaya animasi ginian;0
2024-10-05T10:44:14Z;@exzel1488;Titit ga tuh 😂😂😂;0
2024-10-05T10:44:06Z;@markxviii5469;Jejak dulu;0
2024-10-05T10:34:27Z;@Alparizi1221;konsep animenya MENARIK BANGETT  keknya bakalan jadi anime fav;0
2024-10-05T10:32:48Z;@soochoi0512;Oh jadi dia crushnya waktu sd😭;0
2024-10-05T10:24:02Z;@Never.A.Human6235;Bro why dont they have it on the eng dub bruh 😭;0
2024-10-05T11:30:06Z;@hen005;its ez to know this channel name is Muse Indonesia.;0
2024-10-05T10:22:20Z;@spedupmsc;Itu opening yg nyanyi kaya yang nyanyi bling bang born;0
2024-10-05T10:19:26Z;@k-pab7800;BJIRRRRR KEREN BANGET COOOOOOYY;0
2024-10-05T10:16:21Z;@RiraSanjuu;Balik lagi kesini krna baru tau si nenek hantu sama alien VAnya Luffy dan Zoro wkwkwk gak nyangka;0
2024-10-05T10:12:06Z;@jengimang2205;anime absurd parah wkwktp fresh bgt dan grafiknya sgt2 suka;0
2024-10-05T10:05:43Z;@arun1ka4_4;Sumpah bagus banget animenya. Emang ga salah naikin ekspetasi sm dandadan. Semoga bertahan seperti ini;0
2024-10-05T10:05:12Z;@jibrilfauzan2826;😮 konsep intronya kek mashle yak;0
2024-10-05T10:04:17Z;@raflidiot;DAN DA DAN!!!!!!;0
2024-10-05T10:03:27Z;@R12PROJECT-h3t;Ada dub indonya ga min?😊;0
2024-10-05T10:03:03Z;@dikaarifwicaksana7628;pls isapkan dulu le😋;0
2024-10-05T09:59:46Z;@fransetya2045;Tolong biji saya hilang 😢wkwkwkwk;0
2024-10-05T09:55:12Z;@rizaldisaepuloh;Intronya mirip mashle? Apakah mereka satu studio juga soalnya teksturnya juga mirip;0
2024-10-05T09:51:28Z;@helofriends3771;Gile ni anime;0
2024-10-05T09:49:39Z;@hasanakbari6282;Sptny aku tahu majalah yg dibaca sm bocah itu. Apkh ini menceritakan tentang majalah fenomenal di Jeoang tahun 80an? Entahlah.;0
2024-10-05T09:38:23Z;@ferdiansyahkns5884;Tanjiro pindah server ke sini 🗿;0
2024-10-05T09:35:15Z;@aisyahpuspitasari9975;HAHAHAHAHA APA LAGI INI WOY;0
2024-10-05T09:32:06Z;@miedori;Tolak bala, tolak bala, kenapa subnya senada ama liriknya jir wkwk;0
2024-10-05T09:28:36Z;@Likecatlikebear;Kalo lewat terowong ati ati ada nenek turbo guys😱;0
2024-10-05T09:21:38Z;@agung9300;Petualangan mencari biji dimulai cuy 😂;0
2024-10-05T09:11:34Z;@mbaungwalker2261;Ini yg alien cabul ya;0
2024-10-05T09:06:38Z;@nnonday;loveyou muse 😘;0
2024-10-05T09:06:18Z;@nnonday;mood bgt bejill ;0
2024-10-05T08:59:51Z;@nnonday;nenek turbo vs nenek menor 👹💅;0
2024-10-05T08:50:58Z;@rafialfarizii.3909;eps1 pecah banget anjir hahahahhah🤣🤣🤣;0
2024-10-05T08:50:30Z;@itsmailna;Njir ngga bahaya ta animenya tayang disini😂, tapi lucu sih 😂😂;0
2024-10-05T08:46:57Z;@chiyo_khumaini;COOL;0
2024-10-05T08:42:02Z;@Star_Tv-t6p;itu kapal yang dari Indonesia bukan sih di menit 2357;0
2024-10-05T08:39:17Z;@Chisa_uno;Yang nyanyiin opnya apakah yang nyanyiin lagu bling bang bang mashel?;1
2024-10-05T08:38:14Z;@haphaptangkap;Asli keren banget ini;0
2024-10-05T08:36:17Z;@SamudraAcbar;jing kek lagu anime mucsel cik😂;0
2024-10-05T08:34:23Z;@coralgeming6355;Intronya awalnya mirip mashel S2;0
2024-10-05T08:34:06Z;@syalmerah2127;Waaah mbak Nana Mizuki jadi mbah²;0
2024-10-05T08:23:35Z;@RenDDD;lets goooooooooooo;0
2024-10-05T08:17:45Z;@andresyabana2693;Aduh anuh pakai mesin bor;0
2024-10-05T08:16:50Z;@haphaptangkap;Gokilllll;0
2024-10-05T08:07:31Z;@Semeone96;Shin sonic reference 🗿;0
2024-10-05T08:05:59Z;@darkhero4595;Petualangan mencari buwung;0
2024-10-05T08:03:06Z;@chelseakaer;Opening intro miripp sama mob yaa;0
2024-10-05T07:56:17Z;@djaluyudhistira3835;Seiyuu yang tua tua jadi alien dan hantu;0
2024-10-05T07:51:10Z;@AuliaSayangibu;P;0
2024-10-05T07:50:19Z;@novall27;P;0
2024-10-05T07:48:50Z;@la4Games;Goks!!  Emg ga salah gw nggu nih anime.. tnyata, KEREN 😁Matursuwon @MuseIndonesia 💙;0
2024-10-05T07:45:38Z;@MeeboSangko;What the sigma is this anime????😂😂 kayak mimpi pas demam;0
2024-10-05T07:42:08Z;@MawadahMawadah-z4y;Suaranya tanjiro 😂;0
2024-10-05T07:38:47Z;@zakariaahlaq-to2pd;Nenek turbo 🗿;0
2024-10-05T07:37:57Z;@Lavanya34342;alien nya mirip dadan seijin 🤣🤣ada easter egg ultraman taro juga;0
2024-10-05T07:30:27Z;@Royalbet-yz2vq;perakara banana sama papaya 😂;0
2024-10-05T07:28:10Z;@ram-txp;Wajib ditonton untuk season ini!!!!!!;0
2024-10-05T07:24:27Z;@uzumakiboruto8154;kalo gasalah denger ya ... suara nya nenek turbo itu kek suara nya luffy;0
2024-10-05T07:20:19Z;@atrntroph;OMAGAAAA THE ART??????;0
2024-10-05T07:19:01Z;@Galaksinya_;ngakak banget asli;0
2024-10-05T07:13:59Z;@ruldigistra8317;Mirip mob;0
2024-10-05T07:13:18Z;@whiem-biem13;Gue dpt vibes manganya. Keren 🔥🔥🔥;0
2024-10-05T06:59:54Z;@markyoung9326;Omaga d muse jga ada thankyu😂;0
2024-10-05T06:58:35Z;@lunoxlunox6850;Grafiknya mengingatkanku kill la kill🙂;0
2024-10-05T06:51:31Z;@KiraYoshikage-it5cx;PEAK! 🔥 AS MOB FAN I LIKE THIS ANIME!;0
2024-10-05T06:49:14Z;@alvianachmad269;seru banget anjirrr laaaa;0
2024-10-05T06:48:16Z;@easterngod;Mantap lah ni anime kek nya gw bakalan suka 😂;0
2024-10-05T06:45:40Z;@williamsheffield7007;Ada luffy ama zoro cuy;0
2024-10-05T06:41:43Z;@nasya26g46;KEREN GILAK;0
2024-10-05T06:37:47Z;@SofiSofiah-sl8dl;jir suara Luffy;1
2024-10-05T06:36:52Z;@demiurgos9800;Istri baru;0
2024-10-05T06:33:04Z;@winna5064;yg di tunggu akhirnya pencarian biji pun di mulai;0
2024-10-05T06:21:56Z;@HulkenEVM;2023 oktober ada frieren2024 oktober ada dandadan;1
2024-10-05T06:19:51Z;@Reza11-xh3pr;Anak sekecil itu tytyd nya di hisap hantu 🤣🤣🤣🤣🤣;0
2024-10-05T06:19:50Z;@rivalmauli7883;Creepy nuts songs;0
2024-10-05T06:19:31Z;@lumbalumbahidup;Gokillll, suka sukaaaa, makasih ya museee huhu;0
2024-10-05T06:11:39Z;@rahmatal-hakim5991;Anjir sampai rewacth 10 kali dong 😅;0
2024-10-05T06:05:07Z;@VOA_Asyairoh;ADA VOICE LUFFY;0
2024-10-05T06:04:07Z;@kenslighter7940;Akhirnya petualangan mencari Biji dimulai;0
2024-10-05T05:50:54Z;@F18896;suara nya kaya tanjiro di rengoku movie bjir;1
2024-10-05T05:45:55Z;@DwiherdiSba;Banana no kudasai🥸👽🤏;0
2024-10-05T05:45:11Z;@srimpie3746;Visual anime nya menarik banget betah dah gw disini😂;1
2024-10-05T05:42:51Z;@MatiusJanuardi;Animasi nya kurang bagus;0
2024-10-05T06:54:29Z;@faza87watch;Komen ga laku😂😂😂;1
2024-10-05T05:39:33Z;@Ells_17;😂;0
2024-10-05T05:38:24Z;@fziyt3486;🔥🔥🔥;0
2024-10-05T05:36:28Z;@rizqipratama8323;LUUK ET DE GRAPIK GUSY;1
2024-10-05T05:36:04Z;@BliKomanGMemes;plot twist banget 😂😂;0
2024-10-05T05:29:32Z;@DwiherdiSba;Inpo loker muse❤;0
2024-10-05T05:25:15Z;@MatiusJanuardi;Enak banget dengaren ny;0
2024-10-05T05:24:57Z;@idandul;Taka ken sapa emang? Kok cwe nya suka sama dengan nama itu?;0
2024-10-05T05:03:35Z;@jonathandgt9463;Dandadan - misi pencarian bola keramat emas (peler);1
2024-10-05T05:02:48Z;@cutyuliagustina348;Lanjutan nya mana nii;1
2024-10-05T05:02:37Z;@rizkiyan_aji;waktunya menyalakan lonceng lagi;0
2024-10-05T04:59:10Z;@slametnooraziz2875;Sangat2 absurd😂😂😂;0
2024-10-05T04:53:46Z;@mugichan203;Biarkan aku menghisap tytyd mu🗿;0
2024-10-05T04:48:40Z;@arrizalramadhan8401;titit bocah ini telah kuambil, selama tititnya kubawa, kutukan bocah itu tidak akan lepas. sebuah penulisan yang sangat amat PEAK, titit / 10.;0
2024-10-05T04:47:09Z;@ZakySaputra-ko9on;Petualangan mencari biji saga telah di mulai 🗣️🗣️🗣️🔥🔥🔥🔥🔥🔥;0
2024-10-05T04:45:10Z;@Takariqo;🔥🔥🔥🔥;0
2024-10-05T04:44:45Z;@adishaka3214;nenek turbo sedang mengejar 💀💀;0
2024-10-05T04:42:56Z;@ruded967;Kalo mau baca manga nya di mana ngab?;0
2024-10-05T04:30:40Z;@Wuthering27;Zenitsu : Hey tanjirou apa yang kamu lakukan disitu!!?;0
2024-10-05T04:24:14Z;@gummybbang;damn😂;0
2024-10-05T04:02:07Z;@tsabituu;Petualangan untuk mencari biji;1
2024-10-05T03:50:20Z;@shota6693;Neneknya si cewek awet muda njr;0
2024-10-05T03:44:15Z;@IrvanKeceasli;KERENNN;0
2024-10-05T03:40:11Z;@andif1063;nenek speed;0
2024-10-05T03:37:50Z;@yudasulaiman5785;Yang ngisi opening ny Mash ya?;0
2024-10-05T03:36:12Z;@fajarrifansya;Funfact, pengisi suaraNenek Turbo : Luffy VA (Mayumi Tanaka)Alien Serpo : Zoro VA (Kazuya Nakai);0
2024-10-05T05:59:13Z;@kanaenakahoshi7907;MC : Kamado Tanjiro😂;0
2024-10-05T03:35:49Z;@fadlanch4048;Wkkww ternyata dia Takakura ken;0
2024-10-05T03:35:14Z;@abigailchannel7802;anjir dijadiin animesemoga scene komedinya dapet biar full ngakak;0
2024-10-05T03:25:02Z;@Justnanau;ASIK KECE AUTO FAV SEASON INI!!!;0
2024-10-05T03:20:32Z;@MuskamiaTasanih;bagi yg blom liat manga nya, coba intip deh, gila abis art nya;0
2024-10-05T03:12:33Z;@Mcbread1;Di indo ada nenek gayung, di jepang ada nenek turbo. Kalo di negara lain ada nenek apa ya?;1
2024-10-05T03:03:30Z;@alifibrah;Gelo chaos amat ahhahaha;0
2024-10-05T02:51:40Z;@Aegeaons;keinget Tanjiro😂;0
2024-10-05T02:47:15Z;@MelatiFauziah;Finaly, tayang jg anime dri manga favorit gue;0
2024-10-05T02:44:05Z;@ardysurya6252;namaku takakura ken wkwk;0
2024-10-05T02:20:39Z;@Arya_Surya;Alien nya agak lain🗿 btw min kabar anu nya takakura gimana min di eps selanjutnya 🗿;0
2024-10-05T02:17:33Z;@SpiderBoy-pv1lk;anying intro music nya aja enak bgt😂;0
2024-10-05T02:16:40Z;@yunama47;absurd banget njir;0
2024-10-05T02:15:20Z;@gapenailharahap2921;keren bangsaatt;0
2024-10-05T02:14:52Z;@ajiwibowo5390;Blue lock season 2 update disini gak min;0
2024-10-05T02:14:42Z;@jayyy-11V;saya akan menyatakan tanggal 5 bulan 10 2024 saya akan jadi fans anime ini;0
2024-10-05T02:14:19Z;@ayom3523;Love this.;0
2024-10-05T01:55:49Z;@akia8;baru kali ini nemu film/series official sub indo yg pake kata titit 🤣;0
2024-10-05T01:53:24Z;@hafidnur301;Opening song dari artist yang sama di anime Mashle ya, Creepy Nuts;0
2024-10-05T01:52:30Z;@rizkikfebri4463;pemburuan biji dimulai;0
2024-10-05T01:34:03Z;@zii9589;absurd bener wkwkw;0
2024-10-05T01:32:45Z;@Adoora25;fireee🔥🔥🔥;0
2024-10-05T01:31:59Z;@Langggg-n3y;Jir intro nya asik kek magic&ampmashle;0
