publishedAt;authorDisplayName;textDisplay;likeCount
2024-09-30T03:54:59Z;@bb2250;This song sucks;0
2024-09-30T03:52:09Z;@alexjw2k4;THIS IS WHAT YOU ASKED FOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOR!!!!!!!!!!!!!!!!!!!!;0
2024-09-30T03:25:19Z;@jenifan961;when singing the old Linkin Park song, he was a bit stiff. But this one is extraordinary and here he doesn 't just emphasize his hoarse voice;0
2024-09-30T03:22:49Z;@lerm668;Wowo🎉❤;0
2024-09-30T03:12:45Z;@Davi_Cosmo;LP is back 🎉;0
2024-09-30T03:11:14Z;@GodlessManitoban;That scream :D;0
2024-09-30T02:59:53Z;@Blitzbrie;" 00:27  you can 't win if your WIFE LAGS OUT when the war begins""";0
2024-09-30T02:58:06Z;@lukeytavares7128;Shes cooking dammmn;0
2024-09-30T02:14:21Z;@carlislaymance2742;I hate that I like it. Still think they should have just honored his legacy by going under a new name 😢 RIP Chester;0
2024-09-30T02:13:38Z;@mraflyzulfikar;well this is crazy;0
2024-09-30T01:59:27Z;@alexkuznietsov2473;Great song, however so sorry we will never hear this song by Chester :(;0
2024-09-30T01:22:33Z;@TyKaL609;I 'm very surprised, and I don 't like Linkin Park at all!;0
2024-09-30T01:18:19Z;@renanteocampo701;Awesome!!!;0
2024-09-30T00:47:15Z;@vulpevulpevulpevulpevulpevulpe;this song is honestly so underwhelming but im pretty sure its for league of legends so it makes sense;0
2024-09-30T00:48:18Z;@vulpevulpevulpevulpevulpevulpe;also i dont see what you guys are saying it doesn 't sound at all like faint;0
2024-09-30T00:32:38Z;@Kenshin6321;THIS IS WHAT WE AND FOR! Absolute banger!! Welcome back!;0
2024-09-30T00:31:45Z;@m3rzy565;The waiter after I just told him I didn 't order the food:;1
2024-09-30T00:29:31Z;@velocityy1;Didn 't like the first song honestly, but this one is really good.;0
2024-09-30T00:24:29Z;@edielalber;Its rock 's ☆;0
2024-09-30T00:14:30Z;@johnbritolima;Faint... But worse;2
2024-09-30T00:06:00Z;@8bitdee;Fans: “this isn’t Linkin park!” Me: “they haven’t been Linkin park since 2007 when they released MtM lmao”;0
2024-09-30T00:05:56Z;@gilbertoalves5028;Transformers one theme song;0
2024-09-29T23:59:38Z;@ginowildfire.3124;I 'm just waiting for the music video of this. ❤;0
2024-09-29T23:36:29Z;@alexandredorneles4463;Linkin park é uma Fênix, renasceu, parabéns eu amo;0
2024-09-29T23:24:01Z;@rafi6424;And thats waving goodbye to my sleep XD;0
2024-09-29T23:17:51Z;@judymccomiskie-yi7bo;Sounds like a deformed version of Faint. Just. No.;1
2024-09-29T23:05:52Z;@theaspieman6126;Okay not bad, sure, Chester could nail this better but....I guess even a hard-core Chester fan like myself even I gotta admit maybe, it 's time like all monarchs, to pass on the crown 👑 . God Save Emily, Long may she reign...;1
